            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457991.500000000, A.D. 2017-Aug-26 00:00:00.0000, -5.854091916330426E+07, -5.006963772224643E+07,  3.290154506495344E+07,  8.399048694611931E+00,  3.807314716206129E+01, -4.840201303418200E+01,  2.794088549314502E+02,  8.376466740686487E+07, -4.763939083917000E+01,
2457992.500000000, A.D. 2017-Aug-27 00:00:00.0000, -5.776363176429459E+07, -4.673678544524002E+07,  2.869174179944585E+07,  9.621778849013136E+00,  3.909014690570579E+01, -4.904867626368248E+01,  2.656850124496167E+02,  7.965036293603118E+07, -4.758331932916355E+01,
2457993.500000000, A.D. 2017-Aug-28 00:00:00.0000, -5.687296909403870E+07, -4.331234091610552E+07,  2.442580638491471E+07,  1.102899302848577E+01,  4.019461711864969E+01, -4.969960541047507E+01,  2.519924634428259E+02,  7.554544001299992E+07, -4.741685901662939E+01,
2457994.500000000, A.D. 2017-Aug-29 00:00:00.0000, -5.585145910709580E+07, -3.978842293077824E+07,  2.010390462626389E+07,  1.265740267162216E+01,  4.139393004638664E+01, -5.034145899116951E+01,  2.383681574087439E+02,  7.146097581849822E+07, -4.710254030148528E+01,
2457995.500000000, A.D. 2017-Aug-30 00:00:00.0000, -5.467811839113275E+07, -3.615656189310494E+07,  1.572764351677196E+07,  1.455180304380140E+01,  4.269411270933117E+01, -5.095375950980223E+01,  2.248616000664871E+02,  6.741181179374515E+07, -4.659005625451031E+01,
2457996.500000000, A.D. 2017-Aug-31 00:00:00.0000, -5.332769808348324E+07, -3.240788597610047E+07,  1.130082271297651E+07,  1.676631432797011E+01,  4.409806575610084E+01, -5.150557105258089E+01,  2.115391604967911E+02,  6.341784488858951E+07, -4.581185891045052E+01,
2457997.500000000, A.D. 2017-Sep-01 00:00:00.0000, -5.176984348607101E+07, -2.853351090374761E+07,  6.830529843061644E+06,  1.936501894921406E+01,  4.560253542214113E+01, -5.195080441843781E+01,  1.984898108029766E+02,  5.950574826857930E+07, -4.467763265094193E+01,
2457998.500000000, A.D. 2017-Sep-02 00:00:00.0000, -4.996825976595337E+07, -2.452526894802613E+07,  2.328711592673023E+06,  2.242094276315332E+01,  4.719315963598575E+01, -5.222187093920330E+01,  1.858325869452441E+02,  5.571120801681344E+07, -4.306799630497287E+01,
2457999.500000000, A.D. 2017-Sep-03 00:00:00.0000, -4.788010497493673E+07, -2.037697870453078E+07, -2.185637614026855E+06,  2.601137191989459E+01,  4.883676710678460E+01, -5.222182386063961E+01,  1.737258273650789E+02,  5.208169280386065E+07, -4.082883801233183E+01,
2458000.500000000, A.D. 2017-Sep-04 00:00:00.0000, -4.545606316981478E+07, -1.608652271577098E+07, -6.683584793815778E+06,  3.020609236969063E+01,  5.047034257439908E+01, -5.181636711676257E+01,  1.623775556466527E+02,  4.867956653134180E+07, -3.776991873273120E+01,
2458001.500000000, A.D. 2017-Sep-05 00:00:00.0000, -4.264190868834427E+07, -1.165900405250835E+07, -1.112280714340824E+07,  3.504378219685223E+01,  5.198743233435408E+01, -5.082991438795817E+01,  1.520548037227514E+02,  4.558488335875118E+07, -3.367528875447318E+01,
2458002.500000000, A.D. 2017-Sep-06 00:00:00.0000, -3.938278091652697E+07, -7.111046378593184E+06, -1.544427852417370E+07,  4.049253086136417E+01,  5.322650705445398E+01, -4.905469292502971E+01,  1.430867948892366E+02,  4.289634194718609E+07, -2.833785437807755E+01,
2458003.500000000, A.D. 2017-Sep-07 00:00:00.0000, -3.563148215983994E+07, -2.475635387065421E+06, -1.957079502717448E+07,  4.639799583531814E+01,  5.397262414679206E+01, -4.628665951892908E+01,  1.358530561622818E+02,  4.072772163370252E+07, -2.163094663420734E+01,
2458004.500000000, A.D. 2017-Sep-08 00:00:00.0000, -3.136106449436624E+07,  2.194384462959673E+06, -2.341017902590081E+07,  5.244191112030141E+01,  5.398987613650625E+01, -4.239825165174372E+01,  1.307455594674171E+02,  3.919653264532213E+07, -1.361367738255021E+01,
2458005.500000000, A.D. 2017-Sep-09 00:00:00.0000, -2.657894791384181E+07,  6.827391687755205E+06, -2.686594947819442E+07,  5.815680635641699E+01,  5.309456874164017E+01, -3.743234545780656E+01,  1.281004687702713E+02,  3.840355440359186E+07, -4.624410696594493E+00,
2458006.500000000, A.D. 2017-Sep-10 00:00:00.0000, -2.133580603207049E+07,  1.134145366880679E+07, -2.985504713067213E+07,  6.303462807009802E+01,  5.124504545932978E+01, -3.165895917840857E+01,  1.281150616984632E+02,  3.840792925340392E+07,  4.725025090721307E+00,
2458007.500000000, A.D. 2017-Sep-11 00:00:00.0000, -1.572184469873529E+07,  1.565907476438976E+07, -3.232628166489883E+07,  6.669638905940744E+01,  4.858583400117773E+01, -2.552784709279570E+01,  1.307882447395460E+02,  3.920932936797407E+07,  1.370692435804323E+01,
2458008.500000000, A.D. 2017-Sep-12 00:00:00.0000, -9.849631978898106E+06,  1.972191860141773E+07, -3.427003518097492E+07,  6.901386983704666E+01,  4.540099235474253E+01, -1.952372821631522E+01,  1.359209075132209E+02,  4.074806295697916E+07,  2.171176357708852E+01,
2458009.500000000, A.D. 2017-Sep-13 00:00:00.0000, -3.831754232949797E+06,  2.349842178443818E+07, -3.571456307889527E+07,  7.010320446823872E+01,  4.200752993097548E+01, -1.401971741972807E+01,  1.431758818670199E+02,  4.292304955123153E+07,  2.840433056034199E+01,
2458010.500000000, A.D. 2017-Sep-14 00:00:00.0000,  2.236220998387219E+06,  2.698234734442142E+07, -3.671291794892794E+07,  7.022174580688603E+01,  3.866377528248639E+01, -9.214514683813558E+00,  1.521610341825258E+02,  4.561673044940145E+07,  3.372803055379210E+01,
2458011.500000000, A.D. 2017-Sep-15 00:00:00.0000,  8.282898753924404E+06,  3.018575892198529E+07, -3.732838227898361E+07,  6.965599867861381E+01,  3.553368505008886E+01, -5.154488329893455E+00,  1.624972331813215E+02,  4.871544495362753E+07,  3.781087389788581E+01,
2458012.500000000, A.D. 2017-Sep-16 00:00:00.0000,  1.426026380176332E+07,  3.313105356543460E+07, -3.762371484104538E+07,  6.865359938405314E+01,  3.269629967207918E+01, -1.791086304150358E+00,  1.738558896552955E+02,  5.212068449753780E+07,  4.086033471889634E+01,
2458013.500000000, A.D. 2017-Sep-17 00:00:00.0000,  2.013908524194756E+07,  3.584473816632116E+07, -3.765532480139115E+07,  6.740078629196478E+01,  3.017238284649817E+01,  9.669047477001484E-01,  1.859706284492736E+02,  5.575259181861247E+07,  4.309220706697598E+01,
2458014.500000000, A.D. 2017-Sep-18 00:00:00.0000,  2.590364848031287E+07,  3.835352897044195E+07, -3.747116652203050E+07,  6.602594438442485E+01,  2.794963511954389E+01,  3.219998370791602E+00,  1.986340020685521E+02,  5.954897572250832E+07,  4.469636743100013E+01,
2458015.500000000, A.D. 2017-Sep-19 00:00:00.0000,  3.154728317311627E+07,  4.068231407765752E+07, -3.711075357693104E+07,  6.461236881318160E+01,  2.600031457072317E+01,  5.061353511812550E+00,  2.116881370186453E+02,  6.346250692626046E+07,  4.582653848446201E+01,
2458016.500000000, A.D. 2017-Sep-20 00:00:00.0000,  3.706905086006168E+07,  4.285331366181199E+07, -3.660611570880894E+07,  6.321146460193660E+01,  2.429165532584519E+01,  6.570587028160209E+00,  2.250143561496199E+02,  6.745760691538198E+07,  4.660176066172882E+01,
2458017.500000000, A.D. 2017-Sep-21 00:00:00.0000,  4.247146849508631E+07,  4.488590812709021E+07, -3.598302967933774E+07,  6.185331440892507E+01,  2.279129174593372E+01,  7.812944945206837E+00,  2.385239576946187E+02,  7.150768356915775E+07,  4.711207696353981E+01,
